ilce, thelastround, train-rmse, train-rmse-sd, test-rmse, test-rmse-sd, weight(nrow)
"ilce1", 399, 0.005268, 0.000170, 0.005457, 0.000552, 13133
"ilce2", 399, 0.022789, 0.000658, 0.024806, 0.002268, 3392
"ilce3", 399, 0.005177, 0.000257, 0.005404, 0.001030, 8610
"ilce4", 399, 0.005180, 0.000258, 0.005404, 0.001029, 2650
"ilce5", 399, 0.009749, 0.000670, 0.047213, 0.021145, 99
"ilce6", 399, 0.015342, 0.002142, 0.034163, 0.012590, 528
"ilce7", 399, 0.017633, 0.005350, 0.015783, 0.013028, 5966
"ilce8", 399, 0.021179, 0.006781, 0.016441, 0.016801, 9642
"ilce9", 399, 0.006208, 0.000131, 0.006546, 0.000822, 11998
"ilce10", 399, 0.005114, 0.000050, 0.005495, 0.000167, 5379
"ilce11", 399, 0.018779, 0.000305, 0.020223, 0.001146, 4609
"ilce12", 399, 0.006653, 0.000200, 0.006920, 0.000685, 9071
"ilce13", 399, 0.006653, 0.000200, 0.006913, 0.000684, 8118
"ilce14", 399,	0.006653, 0.000200, 0.006915, 0.000684, 14074
"ilce15", 399,	0.006587, 0.000203, 0.007001, 0.001086, 2403
"ilce16", 399, 0.005058, 0.000071, 0.005588, 0.000422, 9510
"ilce17", 399, 0.005058, 0.000071, 0.005590, 0.000423, 7639
"ilce18", 399, 0.005058, 0.000071, 0.005575, 0.000401, 6601
"ilce19", 399, 0.043965, 0.001228, 0.052112, 0.004499, 1887
"ilce20", 399, 0.032529, 0.005176, 0.037322, 0.014599, 1273
"ilce21", 399, 0.004250, 0.000148, 0.004614, 0.000430, 6302
"ilce22", 2447, 0.001961, 0.000083, 0.002106, 0.000564, 14815
"ilce23", 1062, 0.002319, 0.000065, 0.00250, 0.000384, 3978
"ilce24", 499, 0.008204, 0.000161, 0.009610, 0.002184, 2762
"ilce25", 999, 0.009630, 0.000828, 0.01034, 0.003316, 2536 
"ilce26", 499, 0.004466, 0.000038, 0.005126, 0.000119, 1607
"ilce27", 499, 0.007304, 0.000761, 0.007221, 0.002990, 3338
"ilce28", 499, 0.007307, 0.000702, 0.007369, 0.002611, 9618 
"ilce29", 499, 0.007832, 0.000057, 0.007991, 0.000225, 1660 
"ilce30", 399, 0.004572, 0.000072, 0.009829, 0.006148, 259 
"ilce31", 399, 0.004351, 0.000350, 0.005611, 0.001274, 2584
"ilce32", 399, 0.005333, 0.000172, 0.005686, 0.000671, 3411
"ilce33", 399, 0.005333, 0.000172, 0.005686, 0.000671, 4579
"ilce34", 399", 0.003328, 0.000182, 0.003785, 0.000544, 4625
"ilce35", 399, 0.004952, 0.000817, 0.006872, 0.002858, 1865
"ilce36", 499, 0.004939, 0.000852, 0.006993, 0.003306, 2644
"ilce37", 499, 0.005563, 0.000097, 0.008034, 0.000941, 315  
"ilce38", 499, 0.004851, 0.000229, 0.007004, 0.002094, 31  
"ilce39", 499, 0.003316, 0.000141, 0.004777, 0.001788, 1555 

